                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.98949,                0.53044,                 1.0554,                0.86587,                0.83269,                0.90155,                0.64567,                0.99475,                0.56066,                 1.1089,              0.0015135,              0.0015135,              0.0015135
                     96,                   0.97,                0.51977,                 1.0373,                0.82966,                0.87612,                0.90322,                0.65345,                 1.0014,                0.57548,                 1.1042,              0.0015119,              0.0015119,              0.0015119
                     97,                      1,                 0.5301,                 1.0545,                0.82808,                0.85674,                0.88697,                0.63267,                0.99883,                0.57778,                 1.1051,              0.0015102,              0.0015102,              0.0015102
                     98,                0.97606,                0.53013,                 1.0434,                0.82399,                 0.8806,                0.89804,                0.64591,                0.99477,                0.54271,                 1.0982,              0.0015086,              0.0015086,              0.0015086
                     99,                0.98932,                0.51331,                 1.0512,                  0.806,                0.88183,                 0.8901,                0.64932,                0.99443,                0.56501,                 1.0983,              0.0015069,              0.0015069,              0.0015069
                    100,                0.97062,                0.51231,                 1.0434,                0.82228,                0.86577,                0.89589,                0.64597,                 0.9983,                0.55497,                 1.1053,              0.0015053,              0.0015053,              0.0015053
                    101,                0.98662,                0.53017,                 1.0539,                0.84873,                0.85402,                0.89813,                0.64764,                 1.0028,                0.55519,                 1.1087,              0.0015036,              0.0015036,              0.0015036
                    102,                0.96813,                0.51778,                 1.0473,                0.81821,                0.87968,                 0.8998,                0.65008,                0.98962,                0.55609,                 1.0958,               0.001502,               0.001502,               0.001502
                    103,                0.97904,                0.52497,                 1.0504,                0.83375,                0.84826,                0.89286,                0.64262,                 1.0098,                0.57595,                 1.1038,              0.0015003,              0.0015003,              0.0015003
                    104,                0.99247,                0.53503,                 1.0601,                0.85246,                0.85657,                0.90255,                0.64767,                0.99798,                0.55195,                 1.0991,              0.0014987,              0.0014987,              0.0014987
                    105,                0.99242,                0.55134,                 1.0578,                0.84087,                0.86131,                0.90473,                0.64798,                0.98852,                0.58511,                 1.0944,               0.001497,               0.001497,               0.001497
                    106,                 0.9771,                0.51587,                 1.0522,                0.84281,                0.85258,                 0.8965,                0.64991,                 0.9887,                 0.5604,                 1.0967,              0.0014954,              0.0014954,              0.0014954
                    107,                0.96694,                0.50625,                 1.0683,                0.84486,                0.86385,                0.90356,                 0.6544,                0.99013,                0.55714,                 1.0936,              0.0014937,              0.0014937,              0.0014937
                    108,                0.97205,                0.50584,                 1.0386,                0.83692,                0.84417,                0.89725,                  0.642,                 1.0006,                 0.5568,                 1.1003,              0.0014921,              0.0014921,              0.0014921
                    109,                0.97859,                0.50826,                 1.0471,                 0.8627,                0.84889,                 0.9057,                0.65214,                0.98707,                0.54957,                 1.0953,              0.0014904,              0.0014904,              0.0014904
                    110,                0.98657,                0.51348,                 1.0462,                0.85555,                0.85631,                0.90081,                0.64827,                0.99037,                0.55975,                 1.1017,              0.0014888,              0.0014888,              0.0014888
                    111,                0.97067,                 0.5046,                 1.0335,                0.83892,                0.87451,                0.90658,                0.65616,                0.97923,                0.55153,                 1.0942,              0.0014871,              0.0014871,              0.0014871
                    112,                0.99057,                0.55007,                 1.0361,                0.84687,                 0.8431,                0.89149,                0.63697,                  1.011,                0.56558,                  1.107,              0.0014855,              0.0014855,              0.0014855
                    113,                 1.0054,                0.52218,                 1.0965,                0.85659,                 0.8382,                0.89277,                0.64036,                0.99297,                0.58195,                    1.1,              0.0014838,              0.0014838,              0.0014838
                    114,                0.98488,                0.52615,                 1.0686,                0.85046,                0.86325,                0.90171,                0.65224,                0.97638,                0.55326,                 1.0962,              0.0014822,              0.0014822,              0.0014822
                    115,                0.97531,                0.52419,                   1.04,                0.83065,                0.87674,                0.90136,                0.64532,                0.99139,                0.55914,                 1.0974,              0.0014805,              0.0014805,              0.0014805
                    116,                 0.9561,                0.50911,                  1.026,                0.85238,                0.86197,                0.90848,                0.65726,                0.98159,                0.54518,                 1.0923,              0.0014789,              0.0014789,              0.0014789
                    117,                0.98278,                0.51877,                 1.0552,                0.84672,                0.87032,                 0.9097,                0.65733,                0.99514,                 0.5432,                 1.1007,              0.0014772,              0.0014772,              0.0014772
                    118,                0.96088,                0.49415,                 1.0378,                0.85471,                0.84017,                0.89708,                0.64874,                0.98108,                0.55621,                 1.0991,              0.0014756,              0.0014756,              0.0014756
                    119,                0.94912,                0.48021,                 1.0527,                 0.8648,                0.84782,                0.90362,                0.65816,                0.97613,                0.54709,                 1.0926,              0.0014739,              0.0014739,              0.0014739
                    120,                0.96341,                0.50329,                 1.0495,                 0.8495,                0.85577,                0.89697,                0.65016,                0.99126,                0.57056,                 1.0987,              0.0014723,              0.0014723,              0.0014723
                    121,                0.96834,                0.48804,                 1.0537,                0.84589,                0.85456,                0.89607,                0.65334,                0.96449,                0.54839,                 1.0883,              0.0014706,              0.0014706,              0.0014706
                    122,                0.93152,                0.47356,                 1.0258,                0.84186,                0.86765,                0.90004,                0.65161,                0.98566,                 0.5708,                 1.1087,               0.001469,               0.001469,               0.001469
                    123,                0.95045,                0.49332,                 1.0296,                0.85874,                0.83187,                0.89778,                0.64587,                 0.9985,                0.57954,                 1.1015,              0.0014673,              0.0014673,              0.0014673
                    124,                0.94955,                0.48437,                 1.0585,                0.85205,                 0.8608,                0.90471,                0.65797,                0.98544,                0.56089,                 1.1015,              0.0014657,              0.0014657,              0.0014657
                    125,                0.97025,                0.50931,                 1.0455,                0.86536,                0.84296,                0.89921,                0.64472,                 1.0015,                0.56082,                 1.1003,               0.001464,               0.001464,               0.001464
                    126,                0.95457,                0.48959,                 1.0411,                0.84503,                0.86032,                0.90672,                0.65932,                0.97761,                0.56572,                 1.0921,              0.0014624,              0.0014624,              0.0014624
                    127,                0.93485,                0.49258,                  1.025,                0.86497,                0.85371,                0.89607,                0.65242,                0.96871,                0.54576,                 1.0867,              0.0014607,              0.0014607,              0.0014607
                    128,                0.95072,                0.50964,                 1.0438,                0.84844,                0.83631,                0.88863,                0.64751,                0.97653,                0.56325,                 1.0919,              0.0014591,              0.0014591,              0.0014591
                    129,                0.95153,                0.50961,                 1.0236,                0.85422,                0.85827,                0.89257,                0.64916,                0.97156,                0.55498,                 1.0939,              0.0014574,              0.0014574,              0.0014574
                    130,                0.93944,                0.48365,                 1.0076,                0.85749,                0.84878,                0.89351,                0.65061,                0.98263,                0.55553,                 1.0926,              0.0014558,              0.0014558,              0.0014558
                    131,                0.93036,                0.48077,                 1.0304,                0.84889,                0.84465,                0.89373,                0.64999,                0.98202,                0.56566,                 1.0946,              0.0014541,              0.0014541,              0.0014541
                    132,                0.94671,                0.48286,                 1.0221,                 0.8523,                0.85648,                0.90292,                0.64534,                 1.0283,                0.56359,                 1.1322,              0.0014525,              0.0014525,              0.0014525
