                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.56246,                0.63229,                0.54855,                0.95078,                0.83411,                0.80659,                0.89234,                0.75304,                0.83222,                0.79997,                0.88315,                0.57613,                 0.5742,                0.62506,                0.59361,                 1.0337,              0.0093268,              0.0093268,              0.0093268
                     71,                0.54851,                0.62306,                0.53532,                0.94633,                0.80834,                0.81964,                0.86593,                0.73047,                0.80915,                0.80653,                0.85583,                0.56309,                0.56926,                0.62034,                0.61538,                 1.0313,              0.0093169,              0.0093169,              0.0093169
                     72,                0.55341,                0.64065,                0.55521,                0.95158,                 0.7821,                0.84324,                0.88447,                0.74484,                0.78466,                0.81964,                0.87338,                0.58364,                 0.5727,                0.60671,                0.59586,                 1.0325,               0.009307,               0.009307,               0.009307
                     73,                0.54535,                0.63866,                0.53235,                0.93877,                0.81193,                0.83424,                0.88693,                0.74948,                0.80945,                0.82759,                0.87719,                0.56896,                0.57137,                0.61242,                0.59385,                 1.0276,              0.0092971,              0.0092971,              0.0092971
                     74,                0.53992,                0.64917,                0.52196,                 0.9304,                0.77658,                0.85556,                0.86091,                0.72425,                0.76726,                0.84943,                0.84896,                0.56844,                0.57676,                0.60826,                0.65357,                 1.0364,              0.0092872,              0.0092872,              0.0092872
                     75,                0.54898,                0.63203,                0.52544,                0.94187,                0.78407,                0.86832,                0.88164,                0.73763,                0.77444,                0.86111,                0.86852,                 0.5623,                 0.5677,                0.61447,                0.59109,                 1.0413,              0.0092773,              0.0092773,              0.0092773
                     76,                0.53626,                0.62195,                0.51557,                0.93401,                0.80874,                0.85652,                0.88144,                  0.742,                0.80063,                0.84662,                0.87076,                0.57576,                0.57725,                0.60505,                0.59259,                 1.0389,              0.0092674,              0.0092674,              0.0092674
                     77,                0.54499,                0.64487,                0.53052,                0.93338,                0.82117,                0.80193,                0.86648,                0.72693,                0.81674,                0.79791,                0.85985,                 0.5556,                0.58171,                 0.6434,                0.65628,                 1.0401,              0.0092575,              0.0092575,              0.0092575
                     78,                0.54808,                0.61584,                0.53622,                0.93864,                0.81829,                0.81992,                0.87438,                 0.7398,                 0.8154,                0.80749,                0.86047,                0.57143,                0.56916,                0.61173,                0.60862,                 1.0123,              0.0092476,              0.0092476,              0.0092476
                     79,                0.53442,                0.63719,                0.50688,                0.93796,                0.84679,                0.80036,                0.88063,                  0.745,                0.84419,                0.79687,                0.87424,                0.57333,                0.56982,                0.60471,                0.59946,                 1.0296,              0.0092377,              0.0092377,              0.0092377
                     80,                0.55841,                 0.6218,                0.55852,                0.94347,                0.81925,                0.79735,                0.86344,                0.72875,                0.79602,                0.81346,                 0.8555,                0.56622,                0.59889,                0.59983,                0.63512,                 1.0448,              0.0092278,              0.0092278,              0.0092278
                     81,                0.52679,                 0.6142,                0.50464,                0.93276,                0.83298,                0.79829,                 0.8701,                0.73869,                0.82898,                0.79375,                0.86184,                0.57177,                0.57177,                0.61484,                0.61741,                 1.0265,              0.0092179,              0.0092179,              0.0092179
